NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9663)
2. ERR@10 (result: 0.9663) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_rankboost/model2_rankboost.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_rankboost/model2_rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
268     | 25       | 0.9       | 0.0252    | 0.9411    | 0.9168    | 
269     | 24       | 0.9       | 0.0252    | 0.9411    | 0.9168    | 
270     | 25       | 0.9       | 0.0251    | 0.9411    | 0.9168    | 
271     | 28       | 0.9       | 0.025     | 0.9411    | 0.9168    | 
272     | 20       | 5.897     | 0.0248    | 0.9411    | 0.9168    | 
273     | 25       | 0.9       | 0.0246    | 0.9411    | 0.9168    | 
274     | 28       | 0.9       | 0.0245    | 0.9411    | 0.9168    | 
275     | 24       | 0.9       | 0.0246    | 0.9411    | 0.9168    | 
276     | 25       | 0.9       | 0.0245    | 0.9411    | 0.9168    | 
277     | 28       | 0.9       | 0.0243    | 0.9411    | 0.9168    | 
278     | 20       | 5.897     | 0.0242    | 0.9411    | 0.9168    | 
279     | 5        | 3.407     | 0.0242    | 0.9412    | 0.9176    | 
280     | 25       | 0.9       | 0.024     | 0.9412    | 0.9176    | 
281     | 21       | 0.9       | 0.024     | 0.9412    | 0.9176    | 
282     | 28       | 0.9       | 0.0243    | 0.9412    | 0.9176    | 
283     | 14       | 0.9       | 0.0241    | 0.9412    | 0.9176    | 
284     | 25       | 0.9       | 0.0241    | 0.9412    | 0.9176    | 
285     | 28       | 0.9       | 0.024     | 0.9412    | 0.9176    | 
286     | 24       | 0.9       | 0.0238    | 0.9412    | 0.9176    | 
287     | 25       | 0.9       | 0.0241    | 0.9412    | 0.9176    | 
288     | 6        | 1.2523    | 0.0242    | 0.9408    | 0.9176    | 
289     | 28       | 0.9       | 0.0237    | 0.9408    | 0.9176    | 
290     | 25       | 0.9       | 0.0236    | 0.9408    | 0.9176    | 
291     | 20       | 5.897     | 0.0236    | 0.9408    | 0.9176    | 
292     | 24       | 0.9       | 0.0233    | 0.9408    | 0.9176    | 
293     | 25       | 0.9       | 0.0236    | 0.9408    | 0.9176    | 
294     | 28       | 0.9       | 0.0236    | 0.9408    | 0.9176    | 
295     | 25       | 0.9       | 0.0231    | 0.9408    | 0.9176    | 
296     | 20       | 4.9141    | 0.0231    | 0.9408    | 0.9176    | 
297     | 28       | 0.9       | 0.0233    | 0.9408    | 0.9176    | 
298     | 28       | 0.9       | 0.0228    | 0.9408    | 0.9176    | 
299     | 24       | 0.9       | 0.0228    | 0.9408    | 0.9176    | 
300     | 25       | 0.9       | 0.0232    | 0.9408    | 0.9176    | 
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.9412
NDCG@10 on validation data: 0.9176
---------------------------------
NDCG@10 on test data: 0.9663

Model saved to: ../model_rankboost/model2_rankboost.txt
ronkow@monty:~/Documents/a/a_github/solr-learning-to-rank/ranklib$  

-------------------------------------------------------------------
java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 2 -metric2T NDCG@10

Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	ERR@10
Test metric:	NDCG@10
Highest relevance label (to compute ERR): 4
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | ERR@10-T  | ERR@10-V  | 
--------------------------------------------------------------------
1       | 23       | 0.9       | 0.706     | 0.5512    | 0.5016    | 
2       | 25       | 0.9       | 0.3903    | 0.5512    | 0.5071    | 
3       | 28       | 0.9       | 0.3551    | 0.5512    | 0.5086    | 
4       | 20       | 1.9657    | 0.3716    | 0.5508    | 0.5425    | 
5       | 25       | 0.9       | 0.3601    | 0.5512    | 0.5427    | 
6       | 24       | 0.9       | 0.3603    | 0.5511    | 0.5435    | 
7       | 28       | 0.9       | 0.325     | 0.5511    | 0.5435    | 
8       | 20       | 3.9313    | 0.3002    | 0.5511    | 0.5436    | 
9       | 25       | 0.9       | 0.3164    | 0.5512    | 0.5437    | 
10      | 28       | 0.9       | 0.2844    | 0.5512    | 0.5437    | 
11      | 25       | 0.9       | 0.2507    | 0.5513    | 0.5437    | 
12      | 21       | 0.9       | 0.2543    | 0.5512    | 0.5437    | 
13      | 28       | 0.9       | 0.2467    | 0.5512    | 0.5437    | 
14      | 25       | 0.9       | 0.2371    | 0.5513    | 0.5437    | 
15      | 20       | 3.9313    | 0.2189    | 0.5512    | 0.5437    | 
16      | 28       | 0.9       | 0.2201    | 0.5512    | 0.5437    | 
17      | 25       | 0.9       | 0.2085    | 0.5513    | 0.5437    | 
18      | 28       | 0.9       | 0.1857    | 0.5513    | 0.5437    | 
19      | 22       | 0.9       | 0.1798    | 0.5513    | 0.5459    | 
20      | 24       | 0.9       | 0.1949    | 0.5513    | 0.546     | 
21      | 25       | 0.9       | 0.1842    | 0.5513    | 0.546     | 
22      | 28       | 0.9       | 0.1657    | 0.5513    | 0.546     | 
23      | 25       | 0.9       | 0.16      | 0.5513    | 0.546     | 
24      | 21       | 0.9       | 0.1592    | 0.5513    | 0.546     | 
25      | 15       | 0.9       | 0.1612    | 0.5481    | 0.547     | 
26      | 25       | 0.9       | 0.153     | 0.5481    | 0.547     | 
27      | 28       | 0.9       | 0.1525    | 0.5481    | 0.547     | 
28      | 20       | 4.9141    | 0.1448    | 0.5481    | 0.547     | 
29      | 25       | 0.9       | 0.1386    | 0.5481    | 0.547     | 
30      | 24       | 0.9       | 0.1403    | 0.5482    | 0.5471    | 
31      | 28       | 0.9       | 0.1371    | 0.5482    | 0.5471    | 
32      | 14       | 0.9       | 0.1341    | 0.5482    | 0.5471    | 
33      | 25       | 0.9       | 0.1334    | 0.5482    | 0.5471    | 
34      | 20       | 5.897     | 0.127     | 0.5482    | 0.5471    | 
35      | 28       | 0.9       | 0.1266    | 0.5482    | 0.5471    | 
36      | 25       | 0.9       | 0.121     | 0.5482    | 0.5471    | 
37      | 21       | 0.9       | 0.1168    | 0.5482    | 0.5471    | 
38      | 25       | 0.9       | 0.1178    | 0.5482    | 0.5471    | 
39      | 28       | 0.9       | 0.1175    | 0.5482    | 0.5471    | 
40      | 20       | 5.897     | 0.1111    | 0.5482    | 0.5471    | 
41      | 14       | 0.9       | 0.1088    | 0.5482    | 0.5471    | 
42      | 28       | 0.9       | 0.1088    | 0.5482    | 0.5471    | 
43      | 25       | 0.9       | 0.1093    | 0.5482    | 0.5471    | 
44      | 24       | 0.9       | 0.1137    | 0.5482    | 0.5472    | 
45      | 25       | 0.9       | 0.1055    | 0.5482    | 0.5472    | 
46      | 20       | 4.9141    | 0.1041    | 0.5482    | 0.5472    | 
47      | 28       | 0.9       | 0.1021    | 0.5482    | 0.5472    | 
48      | 25       | 0.9       | 0.0983    | 0.5482    | 0.5472    | 
49      | 20       | 5.897     | 0.0958    | 0.5482    | 0.5472    | 
50      | 24       | 0.9       | 0.0954    | 0.5482    | 0.5472    | 
51      | 25       | 0.9       | 0.0962    | 0.5482    | 0.5472    | 
52      | 28       | 0.9       | 0.0956    | 0.5482    | 0.5472    | 
53      | 14       | 0.9       | 0.0925    | 0.5482    | 0.5472    | 
54      | 28       | 0.9       | 0.0892    | 0.5482    | 0.5472    | 
55      | 25       | 0.9       | 0.0896    | 0.5482    | 0.5472    | 
56      | 20       | 5.897     | 0.0901    | 0.5482    | 0.5472    | 
57      | 24       | 0.9       | 0.0854    | 0.5482    | 0.5472    | 
58      | 25       | 0.9       | 0.088     | 0.5482    | 0.5472    | 
59      | 28       | 0.9       | 0.0844    | 0.5482    | 0.5472    | 
60      | 20       | 5.897     | 0.0837    | 0.5482    | 0.5472    | 
61      | 25       | 0.9       | 0.082     | 0.5482    | 0.5472    | 
62      | 17       | 1.5296    | 0.081     | 0.548     | 0.5473    | 
63      | 28       | 0.9       | 0.0794    | 0.548     | 0.5473    | 
64      | 21       | 0.9       | 0.0801    | 0.548     | 0.5473    | 
65      | 6        | 3.7568    | 0.0838    | 0.548     | 0.5473    | 
66      | 25       | 0.9       | 0.0821    | 0.548     | 0.5473    | 
67      | 25       | 0.9       | 0.0761    | 0.548     | 0.5473    | 
68      | 24       | 0.9       | 0.0768    | 0.548     | 0.5473    | 
69      | 28       | 0.9       | 0.0771    | 0.548     | 0.5473    | 
70      | 20       | 5.897     | 0.0763    | 0.548     | 0.5473    | 
71      | 25       | 0.9       | 0.0756    | 0.548     | 0.5473    | 
72      | 14       | 0.9       | 0.0755    | 0.548     | 0.5473    | 
73      | 28       | 0.9       | 0.0738    | 0.548     | 0.5473    | 
74      | 20       | 5.897     | 0.0717    | 0.548     | 0.5473    | 
75      | 25       | 0.9       | 0.0715    | 0.548     | 0.5473    | 
76      | 24       | 0.9       | 0.0706    | 0.548     | 0.5473    | 
77      | 6        | 3.7568    | 0.0707    | 0.548     | 0.5473    | 
78      | 25       | 0.9       | 0.0707    | 0.548     | 0.5473    | 
79      | 28       | 0.9       | 0.0708    | 0.548     | 0.5473    | 
80      | 20       | 4.9141    | 0.0682    | 0.548     | 0.5473    | 
81      | 28       | 0.9       | 0.0674    | 0.548     | 0.5473    | 
82      | 25       | 0.9       | 0.0674    | 0.548     | 0.5473    | 
83      | 21       | 0.9       | 0.0661    | 0.548     | 0.5473    | 
84      | 25       | 0.9       | 0.0668    | 0.548     | 0.5473    | 
85      | 14       | 0.9       | 0.0656    | 0.548     | 0.5473    | 
86      | 28       | 0.9       | 0.0663    | 0.548     | 0.5473    | 
87      | 25       | 0.9       | 0.0632    | 0.548     | 0.5473    | 
88      | 24       | 0.9       | 0.0647    | 0.548     | 0.5473    | 
89      | 6        | 1.2523    | 0.0639    | 0.5494    | 0.5473    | 
90      | 25       | 0.9       | 0.0635    | 0.5494    | 0.5473    | 
91      | 20       | 5.897     | 0.0636    | 0.5494    | 0.5473    | 
92      | 28       | 0.9       | 0.0634    | 0.5494    | 0.5473    | 
93      | 25       | 0.9       | 0.0601    | 0.5494    | 0.5473    | 
94      | 24       | 0.9       | 0.0602    | 0.5494    | 0.5473    | 
95      | 28       | 0.9       | 0.0609    | 0.5494    | 0.5473    | 
96      | 20       | 5.897     | 0.0603    | 0.5494    | 0.5473    | 
97      | 25       | 0.9       | 0.06      | 0.5494    | 0.5473    | 
98      | 19       | 2.1413    | 0.0593    | 0.5493    | 0.5475    | 
99      | 28       | 0.9       | 0.0583    | 0.5493    | 0.5475    | 
100     | 20       | 5.897     | 0.057     | 0.5493    | 0.5475    | 
101     | 25       | 0.9       | 0.0572    | 0.5493    | 0.5475    | 
102     | 24       | 0.9       | 0.057     | 0.5493    | 0.5475    | 
103     | 25       | 0.9       | 0.0567    | 0.5493    | 0.5475    | 
104     | 28       | 0.9       | 0.0565    | 0.5493    | 0.5475    | 
105     | 6        | 3.7568    | 0.056     | 0.5493    | 0.5475    | 
106     | 21       | 0.9       | 0.0571    | 0.5493    | 0.5475    | 
107     | 25       | 0.9       | 0.0567    | 0.5493    | 0.5475    | 
108     | 14       | 0.9       | 0.0555    | 0.5493    | 0.5475    | 
109     | 28       | 0.9       | 0.056     | 0.5493    | 0.5475    | 
110     | 25       | 0.9       | 0.0541    | 0.5493    | 0.5475    | 
111     | 20       | 5.897     | 0.0534    | 0.5493    | 0.5475    | 
112     | 28       | 0.9       | 0.0534    | 0.5493    | 0.5475    | 
113     | 24       | 0.9       | 0.0521    | 0.5493    | 0.5475    | 
114     | 25       | 0.9       | 0.0539    | 0.5493    | 0.5475    | 
115     | 28       | 0.9       | 0.0517    | 0.5493    | 0.5475    | 
116     | 25       | 0.9       | 0.0513    | 0.5493    | 0.5475    | 
117     | 20       | 5.897     | 0.0511    | 0.5493    | 0.5475    | 
118     | 6        | 3.7568    | 0.0504    | 0.5493    | 0.5475    | 
119     | 28       | 0.9       | 0.0496    | 0.5493    | 0.5475    | 
120     | 24       | 0.9       | 0.0496    | 0.5493    | 0.5475    | 
121     | 25       | 0.9       | 0.0513    | 0.5493    | 0.5475    | 
122     | 17       | 1.5296    | 0.0498    | 0.5493    | 0.5475    | 
123     | 20       | 5.897     | 0.0491    | 0.5493    | 0.5475    | 
124     | 25       | 0.9       | 0.0492    | 0.5493    | 0.5475    | 
125     | 28       | 0.9       | 0.0487    | 0.5493    | 0.5475    | 
126     | 21       | 0.9       | 0.0488    | 0.5493    | 0.5475    | 
127     | 25       | 0.9       | 0.0491    | 0.5493    | 0.5475    | 
128     | 15       | 0.9       | 0.0477    | 0.5493    | 0.5475    | 
129     | 28       | 0.9       | 0.0482    | 0.5493    | 0.5475    | 
130     | 25       | 0.9       | 0.0469    | 0.5493    | 0.5475    | 
131     | 24       | 0.9       | 0.0474    | 0.5493    | 0.5475    | 
132     | 9        | 1.6616    | 0.0471    | 0.5493    | 0.5475    | 
133     | 28       | 0.9       | 0.0471    | 0.5493    | 0.5475    | 
134     | 25       | 0.9       | 0.0471    | 0.5493    | 0.5475    | 
135     | 20       | 5.897     | 0.0466    | 0.5493    | 0.5475    | 
136     | 28       | 0.9       | 0.0452    | 0.5493    | 0.5475    | 
137     | 25       | 0.9       | 0.0452    | 0.5493    | 0.5475    | 
138     | 24       | 0.9       | 0.0456    | 0.5493    | 0.5475    | 
139     | 25       | 0.9       | 0.045     | 0.5493    | 0.5475    | 
140     | 20       | 5.897     | 0.0447    | 0.5493    | 0.5475    | 
141     | 28       | 0.9       | 0.0444    | 0.5493    | 0.5475    | 
142     | 25       | 0.9       | 0.0433    | 0.5493    | 0.5475    | 
143     | 20       | 5.897     | 0.0428    | 0.5493    | 0.5475    | 
144     | 14       | 0.9       | 0.0428    | 0.5493    | 0.5475    | 
145     | 28       | 0.9       | 0.0434    | 0.5493    | 0.5475    | 
146     | 24       | 0.9       | 0.0437    | 0.5493    | 0.5475    | 
147     | 25       | 0.9       | 0.0434    | 0.5493    | 0.5475    | 
148     | 28       | 0.9       | 0.0425    | 0.5493    | 0.5475    | 
149     | 20       | 4.9141    | 0.0425    | 0.5493    | 0.5475    | 
150     | 25       | 0.9       | 0.042     | 0.5493    | 0.5475    | 
151     | 28       | 0.9       | 0.0415    | 0.5493    | 0.5475    | 
152     | 6        | 3.7568    | 0.0413    | 0.5493    | 0.5475    | 
153     | 21       | 0.9       | 0.0415    | 0.5493    | 0.5475    | 
154     | 25       | 0.9       | 0.042     | 0.5493    | 0.5475    | 
155     | 28       | 0.9       | 0.0408    | 0.5493    | 0.5475    | 
156     | 25       | 0.9       | 0.0404    | 0.5493    | 0.5475    | 
157     | 24       | 0.9       | 0.0415    | 0.5493    | 0.5475    | 
158     | 25       | 0.9       | 0.0403    | 0.5493    | 0.5475    | 
159     | 28       | 0.9       | 0.0401    | 0.5493    | 0.5475    | 
160     | 20       | 5.897     | 0.0392    | 0.5493    | 0.5475    | 
161     | 14       | 0.9       | 0.0393    | 0.5493    | 0.5475    | 
162     | 28       | 0.9       | 0.0392    | 0.5493    | 0.5475    | 
163     | 25       | 0.9       | 0.0391    | 0.5493    | 0.5475    | 
164     | 24       | 0.9       | 0.0399    | 0.5493    | 0.5475    | 
165     | 25       | 0.9       | 0.039     | 0.5493    | 0.5475    | 
166     | 28       | 0.9       | 0.0386    | 0.5493    | 0.5475    | 
167     | 20       | 5.897     | 0.038     | 0.5493    | 0.5475    | 
168     | 25       | 0.9       | 0.0376    | 0.5493    | 0.5475    | 
169     | 24       | 0.9       | 0.0376    | 0.5493    | 0.5475    | 
170     | 28       | 0.9       | 0.038     | 0.5493    | 0.5475    | 
171     | 25       | 0.9       | 0.0376    | 0.5493    | 0.5475    | 
172     | 6        | 3.7568    | 0.0376    | 0.5493    | 0.5475    | 
173     | 20       | 5.897     | 0.0368    | 0.5493    | 0.5475    | 
174     | 28       | 0.9       | 0.0368    | 0.5493    | 0.5475    | 
175     | 25       | 0.9       | 0.0364    | 0.5493    | 0.5475    | 
176     | 24       | 0.9       | 0.0364    | 0.5493    | 0.5475    | 
177     | 25       | 0.9       | 0.0363    | 0.5493    | 0.5475    | 
178     | 28       | 0.9       | 0.0363    | 0.5493    | 0.5475    | 
179     | 20       | 5.897     | 0.0356    | 0.5493    | 0.5475    | 
180     | 17       | 1.5296    | 0.0355    | 0.5493    | 0.5475    | 
181     | 28       | 0.9       | 0.0353    | 0.5493    | 0.5475    | 
182     | 25       | 0.9       | 0.0353    | 0.5493    | 0.5475    | 
183     | 21       | 0.9       | 0.0359    | 0.5493    | 0.5475    | 
184     | 25       | 0.9       | 0.0352    | 0.5493    | 0.5475    | 
185     | 28       | 0.9       | 0.0348    | 0.5493    | 0.5475    | 
186     | 24       | 0.9       | 0.0344    | 0.5493    | 0.5475    | 
187     | 25       | 0.9       | 0.0352    | 0.5493    | 0.5475    | 
188     | 28       | 0.9       | 0.0343    | 0.5493    | 0.5475    | 
189     | 14       | 0.9       | 0.0348    | 0.5493    | 0.5475    | 
190     | 20       | 4.9141    | 0.0341    | 0.5493    | 0.5475    | 
191     | 25       | 0.9       | 0.0343    | 0.5493    | 0.5475    | 
192     | 6        | 1.2523    | 0.0343    | 0.5493    | 0.5475    | 
193     | 28       | 0.9       | 0.034     | 0.5493    | 0.5475    | 
194     | 25       | 0.9       | 0.0335    | 0.5493    | 0.5475    | 
195     | 24       | 0.9       | 0.0344    | 0.5493    | 0.5475    | 
196     | 28       | 0.9       | 0.0335    | 0.5493    | 0.5475    | 
197     | 25       | 0.9       | 0.0335    | 0.5493    | 0.5475    | 
198     | 20       | 5.897     | 0.0333    | 0.5493    | 0.5475    | 
199     | 28       | 0.9       | 0.0325    | 0.5493    | 0.5475    | 
200     | 25       | 0.9       | 0.0325    | 0.5493    | 0.5475    | 
201     | 24       | 0.9       | 0.0332    | 0.5493    | 0.5475    | 
202     | 25       | 0.9       | 0.0325    | 0.5493    | 0.5475    | 
203     | 20       | 5.897     | 0.0322    | 0.5493    | 0.5475    | 
204     | 28       | 0.9       | 0.0322    | 0.5493    | 0.5475    | 
205     | 25       | 0.9       | 0.0315    | 0.5493    | 0.5475    | 
206     | 24       | 0.9       | 0.0316    | 0.5493    | 0.5475    | 
207     | 28       | 0.9       | 0.0318    | 0.5493    | 0.5475    | 
208     | 25       | 0.9       | 0.0315    | 0.5493    | 0.5475    | 
209     | 20       | 5.897     | 0.0313    | 0.5493    | 0.5475    | 
210     | 28       | 0.9       | 0.0309    | 0.5493    | 0.5475    | 
211     | 14       | 0.9       | 0.0311    | 0.5493    | 0.5475    | 
212     | 21       | 0.9       | 0.0308    | 0.5493    | 0.5475    | 
213     | 1        | 3.7666    | 0.0316    | 0.5493    | 0.5475    | 
214     | 25       | 0.9       | 0.0316    | 0.5493    | 0.5475    | 
215     | 28       | 0.9       | 0.031     | 0.5493    | 0.5475    | 
216     | 25       | 0.9       | 0.0307    | 0.5493    | 0.5475    | 
217     | 28       | 0.9       | 0.0301    | 0.5493    | 0.5475    | 
218     | 24       | 0.9       | 0.0306    | 0.5493    | 0.5475    | 
219     | 25       | 0.9       | 0.0307    | 0.5493    | 0.5475    | 
220     | 28       | 0.9       | 0.0298    | 0.5493    | 0.5475    | 
221     | 20       | 5.897     | 0.0298    | 0.5493    | 0.5475    | 
222     | 25       | 0.9       | 0.0298    | 0.5493    | 0.5475    | 
223     | 6        | 3.7568    | 0.0296    | 0.5493    | 0.5475    | 
224     | 24       | 0.9       | 0.0294    | 0.5493    | 0.5475    | 
225     | 25       | 0.9       | 0.0298    | 0.5493    | 0.5475    | 
226     | 28       | 0.9       | 0.0296    | 0.5493    | 0.5475    | 
227     | 20       | 5.897     | 0.029     | 0.5493    | 0.5475    | 
228     | 25       | 0.9       | 0.029     | 0.5493    | 0.5475    | 
229     | 8        | 0.9       | 0.0288    | 0.5493    | 0.5478    | 
230     | 28       | 0.9       | 0.0288    | 0.5493    | 0.5478    | 
231     | 24       | 0.9       | 0.0284    | 0.5493    | 0.5478    | 
232     | 25       | 0.9       | 0.029     | 0.5493    | 0.5478    | 
233     | 15       | 0.9       | 0.0286    | 0.5493    | 0.5478    | 
234     | 28       | 0.9       | 0.0289    | 0.5493    | 0.5478    | 
235     | 20       | 5.897     | 0.0284    | 0.5493    | 0.5478    | 
236     | 25       | 0.9       | 0.0283    | 0.5493    | 0.5478    | 
237     | 28       | 0.9       | 0.0281    | 0.5493    | 0.5478    | 
238     | 24       | 0.9       | 0.0279    | 0.5493    | 0.5478    | 
239     | 25       | 0.9       | 0.0283    | 0.5493    | 0.5478    | 
240     | 28       | 0.9       | 0.0279    | 0.5493    | 0.5478    | 
241     | 20       | 5.897     | 0.0276    | 0.5493    | 0.5478    | 
242     | 25       | 0.9       | 0.0275    | 0.5493    | 0.5478    | 
243     | 28       | 0.9       | 0.0272    | 0.5493    | 0.5478    | 
244     | 21       | 0.9       | 0.0276    | 0.5493    | 0.5478    | 
245     | 25       | 0.9       | 0.0275    | 0.5493    | 0.5478    | 
246     | 17       | 1.5296    | 0.0271    | 0.5493    | 0.5478    | 
247     | 28       | 0.9       | 0.0271    | 0.5493    | 0.5478    | 
248     | 25       | 0.9       | 0.0269    | 0.5493    | 0.5478    | 
249     | 24       | 0.9       | 0.0274    | 0.5493    | 0.5478    | 
250     | 25       | 0.9       | 0.0269    | 0.5493    | 0.5478    | 
251     | 28       | 0.9       | 0.0269    | 0.5493    | 0.5478    | 
252     | 20       | 4.9141    | 0.0267    | 0.5493    | 0.5478    | 
253     | 28       | 0.9       | 0.0265    | 0.5493    | 0.5478    | 
254     | 14       | 0.9       | 0.0266    | 0.5493    | 0.5478    | 
255     | 6        | 3.7568    | 0.0265    | 0.5493    | 0.5478    | 
256     | 25       | 0.9       | 0.0264    | 0.5493    | 0.5478    | 
257     | 24       | 0.9       | 0.0265    | 0.5493    | 0.5478    | 
258     | 28       | 0.9       | 0.0267    | 0.5493    | 0.5478    | 
259     | 25       | 0.9       | 0.0264    | 0.5493    | 0.5478    | 
260     | 20       | 5.897     | 0.0261    | 0.5493    | 0.5478    | 
261     | 28       | 0.9       | 0.026     | 0.5493    | 0.5478    | 
262     | 25       | 0.9       | 0.0258    | 0.5493    | 0.5478    | 
263     | 24       | 0.9       | 0.0258    | 0.5493    | 0.5478    | 
264     | 28       | 0.9       | 0.0258    | 0.5493    | 0.5478    | 
265     | 25       | 0.9       | 0.0258    | 0.5493    | 0.5478    | 
266     | 20       | 5.897     | 0.0254    | 0.5493    | 0.5478    | 
267     | 28       | 0.9       | 0.0252    | 0.5493    | 0.5478    | 
268     | 25       | 0.9       | 0.0252    | 0.5493    | 0.5478    | 
269     | 24       | 0.9       | 0.0252    | 0.5493    | 0.5478    | 
270     | 25       | 0.9       | 0.0251    | 0.5493    | 0.5478    | 
271     | 28       | 0.9       | 0.025     | 0.5493    | 0.5478    | 
272     | 20       | 5.897     | 0.0248    | 0.5493    | 0.5478    | 
273     | 25       | 0.9       | 0.0246    | 0.5493    | 0.5478    | 
274     | 28       | 0.9       | 0.0245    | 0.5493    | 0.5478    | 
275     | 24       | 0.9       | 0.0246    | 0.5493    | 0.5478    | 
276     | 25       | 0.9       | 0.0245    | 0.5493    | 0.5478    | 
277     | 28       | 0.9       | 0.0243    | 0.5493    | 0.5478    | 
278     | 20       | 5.897     | 0.0242    | 0.5493    | 0.5478    | 
279     | 5        | 3.407     | 0.0242    | 0.5493    | 0.5479    | 
280     | 25       | 0.9       | 0.024     | 0.5493    | 0.5479    | 
281     | 21       | 0.9       | 0.024     | 0.5493    | 0.5479    | 
282     | 28       | 0.9       | 0.0243    | 0.5493    | 0.5479    | 
283     | 14       | 0.9       | 0.0241    | 0.5493    | 0.5479    | 
284     | 25       | 0.9       | 0.0241    | 0.5493    | 0.5479    | 
285     | 28       | 0.9       | 0.024     | 0.5493    | 0.5479    | 
286     | 24       | 0.9       | 0.0238    | 0.5493    | 0.5479    | 
287     | 25       | 0.9       | 0.0241    | 0.5493    | 0.5479    | 
288     | 6        | 1.2523    | 0.0242    | 0.5492    | 0.5479    | 
289     | 28       | 0.9       | 0.0237    | 0.5492    | 0.5479    | 
290     | 25       | 0.9       | 0.0236    | 0.5492    | 0.5479    | 
291     | 20       | 5.897     | 0.0236    | 0.5492    | 0.5479    | 
292     | 24       | 0.9       | 0.0233    | 0.5492    | 0.5479    | 
293     | 25       | 0.9       | 0.0236    | 0.5492    | 0.5479    | 
294     | 28       | 0.9       | 0.0236    | 0.5492    | 0.5479    | 
295     | 25       | 0.9       | 0.0231    | 0.5492    | 0.5479    | 
296     | 20       | 4.9141    | 0.0231    | 0.5492    | 0.5479    | 
297     | 28       | 0.9       | 0.0233    | 0.5492    | 0.5479    | 
298     | 28       | 0.9       | 0.0228    | 0.5492    | 0.5479    | 
299     | 24       | 0.9       | 0.0228    | 0.5492    | 0.5479    | 
300     | 25       | 0.9       | 0.0232    | 0.5492    | 0.5479    | 
--------------------------------------------------------------------
Finished sucessfully.
ERR@10 on training data: 0.5493
ERR@10 on validation data: 0.5479
---------------------------------
NDCG@10 on test data: 0.9663

