NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9663)
2. ERR@10 (result: 0.9663) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_rankboost/model2_rankboost.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_rankboost/model2_rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
73      | 28       | 0.9       | 0.0738    | 0.9426    | 0.914     | 
74      | 20       | 5.897     | 0.0717    | 0.9426    | 0.914     | 
75      | 25       | 0.9       | 0.0715    | 0.9426    | 0.914     | 
76      | 24       | 0.9       | 0.0706    | 0.9426    | 0.9145    | 
77      | 6        | 3.7568    | 0.0707    | 0.9431    | 0.9152    | 
78      | 25       | 0.9       | 0.0707    | 0.9431    | 0.9152    | 
79      | 28       | 0.9       | 0.0708    | 0.9431    | 0.9152    | 
80      | 20       | 4.9141    | 0.0682    | 0.9431    | 0.9152    | 
81      | 28       | 0.9       | 0.0674    | 0.9431    | 0.9152    | 
82      | 25       | 0.9       | 0.0674    | 0.9431    | 0.9152    | 
83      | 21       | 0.9       | 0.0661    | 0.9431    | 0.9152    | 
84      | 25       | 0.9       | 0.0668    | 0.9431    | 0.9152    | 
85      | 14       | 0.9       | 0.0656    | 0.9431    | 0.9148    | 
86      | 28       | 0.9       | 0.0663    | 0.9431    | 0.9148    | 
87      | 25       | 0.9       | 0.0632    | 0.9431    | 0.9148    | 
88      | 24       | 0.9       | 0.0647    | 0.9431    | 0.9152    | 
89      | 6        | 1.2523    | 0.0639    | 0.943     | 0.9143    | 
90      | 25       | 0.9       | 0.0635    | 0.943     | 0.9143    | 
91      | 20       | 5.897     | 0.0636    | 0.943     | 0.9143    | 
92      | 28       | 0.9       | 0.0634    | 0.943     | 0.9143    | 
93      | 25       | 0.9       | 0.0601    | 0.943     | 0.9143    | 
94      | 24       | 0.9       | 0.0602    | 0.943     | 0.9151    | 
95      | 28       | 0.9       | 0.0609    | 0.943     | 0.9151    | 
96      | 20       | 5.897     | 0.0603    | 0.943     | 0.9151    | 
97      | 25       | 0.9       | 0.06      | 0.943     | 0.9151    | 
98      | 19       | 2.1413    | 0.0593    | 0.9414    | 0.9144    | 
99      | 28       | 0.9       | 0.0583    | 0.9414    | 0.9144    | 
100     | 20       | 5.897     | 0.057     | 0.9414    | 0.9144    | 
101     | 25       | 0.9       | 0.0572    | 0.9414    | 0.9144    | 
102     | 24       | 0.9       | 0.057     | 0.9416    | 0.9147    | 
103     | 25       | 0.9       | 0.0567    | 0.9416    | 0.9147    | 
104     | 28       | 0.9       | 0.0565    | 0.9416    | 0.9147    | 
105     | 6        | 3.7568    | 0.056     | 0.9418    | 0.9152    | 
106     | 21       | 0.9       | 0.0571    | 0.9418    | 0.9152    | 
107     | 25       | 0.9       | 0.0567    | 0.9418    | 0.9152    | 
108     | 14       | 0.9       | 0.0555    | 0.9416    | 0.9148    | 
109     | 28       | 0.9       | 0.056     | 0.9416    | 0.9148    | 
110     | 25       | 0.9       | 0.0541    | 0.9416    | 0.9148    | 
111     | 20       | 5.897     | 0.0534    | 0.9416    | 0.9148    | 
112     | 28       | 0.9       | 0.0534    | 0.9416    | 0.9148    | 
113     | 24       | 0.9       | 0.0521    | 0.9418    | 0.9152    | 
114     | 25       | 0.9       | 0.0539    | 0.9418    | 0.9152    | 
115     | 28       | 0.9       | 0.0517    | 0.9418    | 0.9152    | 
116     | 25       | 0.9       | 0.0513    | 0.9418    | 0.9152    | 
117     | 20       | 5.897     | 0.0511    | 0.9418    | 0.9152    | 
118     | 6        | 3.7568    | 0.0504    | 0.9418    | 0.9152    | 
119     | 28       | 0.9       | 0.0496    | 0.9418    | 0.9152    | 
120     | 24       | 0.9       | 0.0496    | 0.9418    | 0.9152    | 
121     | 25       | 0.9       | 0.0513    | 0.9418    | 0.9152    | 
122     | 17       | 1.5296    | 0.0498    | 0.9418    | 0.9152    | 
123     | 20       | 5.897     | 0.0491    | 0.9418    | 0.9152    | 
