NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.6998)
2. ERR@10 (result: 0.6971) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 7 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_listnet/model2_listnet.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	ListNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] ListNet's Parameters:
No. of epochs: 1500
Learning rate: 1.0E-5

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | C.E. Loss      | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------
106     | 0.0            | 0.6781    | 0.6378    | 
107     | 0.0            | 0.6783    | 0.6382    | 
108     | 0.0            | 0.6784    | 0.6393    | 
109     | 0.0            | 0.6786    | 0.6393    | 
110     | 0.0            | 0.6787    | 0.6393    | 
111     | 0.0            | 0.6787    | 0.6395    | 
112     | 0.0            | 0.6787    | 0.6402    | 
113     | 0.0            | 0.6787    | 0.6402    | 
114     | 0.0            | 0.6787    | 0.6403    | 
115     | 0.0            | 0.6785    | 0.6416    | 
116     | 0.0            | 0.678     | 0.6406    | 
117     | 0.0            | 0.6779    | 0.6415    | 
118     | 0.0            | 0.6779    | 0.6422    | 
119     | 0.0            | 0.6789    | 0.6422    | 
120     | 0.0            | 0.6789    | 0.6431    | 
121     | 0.0            | 0.6794    | 0.6431    | 
122     | 0.0            | 0.6795    | 0.6436    | 
123     | 0.0            | 0.6793    | 0.6436    | 
124     | 0.0            | 0.6793    | 0.6441    | 
125     | 0.0            | 0.6795    | 0.6441    | 
126     | 0.0            | 0.6795    | 0.6441    | 
127     | 0.0            | 0.6796    | 0.6441    | 
128     | 0.0            | 0.6809    | 0.6441    | 
129     | 0.0            | 0.6809    | 0.6441    | 
130     | 0.0            | 0.6811    | 0.645     | 
131     | 0.0            | 0.6812    | 0.645     | 
132     | 0.0            | 0.6813    | 0.645     | 
133     | 0.0            | 0.6813    | 0.6452    | 
134     | 0.0            | 0.6813    | 0.6452    | 
135     | 0.0            | 0.682     | 0.6457    | 
136     | 0.0            | 0.6822    | 0.645     | 
137     | 0.0            | 0.6822    | 0.6456    | 
138     | 0.0            | 0.6821    | 0.6456    | 
139     | 0.0            | 0.6821    | 0.6458    | 
140     | 0.0            | 0.6818    | 0.6445    | 
141     | 0.0            | 0.6821    | 0.6445    | 
142     | 0.0            | 0.6826    | 0.6445    | 
143     | 0.0            | 0.6825    | 0.6446    | 
144     | 0.0            | 0.6826    | 0.6446    | 
145     | 0.0            | 0.6826    | 0.6447    | 
146     | 0.0            | 0.6831    | 0.6448    | 
147     | 0.0            | 0.6829    | 0.6449    | 
148     | 0.0            | 0.6828    | 0.645     | 
149     | 0.0            | 0.6828    | 0.6454    | 
150     | 0.0            | 0.6828    | 0.6454    | 
151     | 0.0            | 0.6831    | 0.6445    | 
152     | 0.0            | 0.6831    | 0.6445    | 
153     | 0.0            | 0.6831    | 0.6451    | 
154     | 0.0            | 0.6831    | 0.6451    | 
155     | 0.0            | 0.6831    | 0.6452    | 
156     | 0.0            | 0.6831    | 0.6452    | 
157     | 0.0            | 0.6831    | 0.6452    | 
158     | 0.0            | 0.6828    | 0.6452    | 
159     | 0.0            | 0.683     | 0.6453    | 
160     | 0.0            | 0.683     | 0.6453    | 
161     | 0.0            | 0.6834    | 0.6453    | 
162     | 0.0            | 0.6834    | 0.6453    | 
163     | 0.0            | 0.6834    | 0.6445    | 
164     | 0.0            | 0.6837    | 0.6445    | 
165     | 0.0            | 0.6835    | 0.6445    | 
166     | 0.0            | 0.6835    | 0.6445    | 
167     | 0.0            | 0.6835    | 0.6445    | 
168     | 0.0            | 0.6834    | 0.6445    | 
169     | 0.0            | 0.6835    | 0.6448    | 
170     | 0.0            | 0.6836    | 0.6448    | 
171     | 0.0            | 0.6836    | 0.6448    | 
172     | 0.0            | 0.6836    | 0.6448    | 
173     | 0.0            | 0.6836    | 0.6449    | 
174     | 0.0            | 0.6835    | 0.6449    | 
175     | 0.0            | 0.6835    | 0.6449    | 
176     | 0.0            | 0.6835    | 0.646     | 
177     | 0.0            | 0.683     | 0.646     | 
178     | 0.0            | 0.683     | 0.6463    | 
179     | 0.0            | 0.683     | 0.6463    | 
180     | 0.0            | 0.683     | 0.6467    | 
181     | 0.0            | 0.683     | 0.6467    | 
182     | 0.0            | 0.683     | 0.6468    | 
183     | 0.0            | 0.683     | 0.6466    | 
184     | 0.0            | 0.683     | 0.6466    | 
185     | 0.0            | 0.683     | 0.6466    | 
186     | 0.0            | 0.6833    | 0.6467    | 
187     | 0.0            | 0.6833    | 0.6468    | 
188     | 0.0            | 0.6833    | 0.6468    | 
189     | 0.0            | 0.6834    | 0.6468    | 
190     | 0.0            | 0.6838    | 0.6468    | 
191     | 0.0            | 0.6837    | 0.6468    | 
192     | 0.0            | 0.6837    | 0.6468    | 
193     | 0.0            | 0.6836    | 0.6468    | 
194     | 0.0            | 0.6836    | 0.6468    | 
195     | 0.0            | 0.6836    | 0.6468    | 
196     | 0.0            | 0.6836    | 0.6468    | 
197     | 0.0            | 0.6836    | 0.6472    | 
198     | 0.0            | 0.6836    | 0.6472    | 
199     | 0.0            | 0.6836    | 0.6472    | 
200     | 0.0            | 0.6833    | 0.6472    | 
201     | 0.0            | 0.6838    | 0.6472    | 
202     | 0.0            | 0.6838    | 0.6472    | 
203     | 0.0            | 0.6836    | 0.6472    | 
204     | 0.0            | 0.6836    | 0.6472    | 
205     | 0.0            | 0.6836    | 0.6473    | 
206     | 0.0            | 0.6837    | 0.6476    | 
207     | 0.0            | 0.6837    | 0.6476    | 
208     | 0.0            | 0.6837    | 0.6476    | 
209     | 0.0            | 0.6837    | 0.6476    | 
210     | 0.0            | 0.6837    | 0.6478    | 
211     | 0.0            | 0.6835    | 0.6478    | 
212     | 0.0            | 0.6835    | 0.6483    | 
213     | 0.0            | 0.6835    | 0.6483    | 
214     | 0.0            | 0.6835    | 0.6484    | 
215     | 0.0            | 0.6835    | 0.6485    | 
216     | 0.0            | 0.6831    | 0.6485    | 
217     | 0.0            | 0.6831    | 0.6485    | 
218     | 0.0            | 0.683     | 0.6485    | 
219     | 0.0            | 0.683     | 0.6485    | 
220     | 0.0            | 0.683     | 0.6485    | 
221     | 0.0            | 0.6831    | 0.6485    | 
222     | 0.0            | 0.6831    | 0.6485    | 
223     | 0.0            | 0.6831    | 0.6485    | 
224     | 0.0            | 0.6831    | 0.6485    | 
225     | 0.0            | 0.683     | 0.6485    | 
226     | 0.0            | 0.683     | 0.6485    | 
227     | 0.0            | 0.683     | 0.6485    | 
228     | 0.0            | 0.6827    | 0.6485    | 
229     | 0.0            | 0.6827    | 0.6485    | 
230     | 0.0            | 0.6827    | 0.6485    | 
231     | 0.0            | 0.6832    | 0.6485    | 
232     | 0.0            | 0.6832    | 0.6485    | 
233     | 0.0            | 0.6832    | 0.6485    | 
234     | 0.0            | 0.6838    | 0.6485    | 
235     | 0.0            | 0.6838    | 0.6482    | 
236     | 0.0            | 0.6838    | 0.6482    | 
237     | 0.0            | 0.6838    | 0.6482    | 
238     | 0.0            | 0.6838    | 0.6494    | 
239     | 0.0            | 0.6838    | 0.6494    | 
240     | 0.0            | 0.6838    | 0.6494    | 
241     | 0.0            | 0.6838    | 0.6494    | 
242     | 0.0            | 0.6838    | 0.6494    | 
243     | 0.0            | 0.6838    | 0.6495    | 
244     | 0.0            | 0.6838    | 0.6496    | 
245     | 0.0            | 0.6838    | 0.6496    | 
246     | 0.0            | 0.6838    | 0.6496    | 
247     | 0.0            | 0.6838    | 0.6496    | 
248     | 0.0            | 0.6838    | 0.6496    | 
249     | 0.0            | 0.6838    | 0.6498    | 
250     | 0.0            | 0.6838    | 0.6498    | 
251     | 0.0            | 0.6838    | 0.6498    | 
252     | 0.0            | 0.684     | 0.6498    | 
253     | 0.0            | 0.6832    | 0.6498    | 
254     | 0.0            | 0.6832    | 0.6498    | 
255     | 0.0            | 0.6832    | 0.6498    | 
256     | 0.0            | 0.6834    | 0.6498    | 
257     | 0.0            | 0.6834    | 0.6498    | 
258     | 0.0            | 0.6824    | 0.6498    | 
259     | 0.0            | 0.6824    | 0.6498    | 
260     | 0.0            | 0.6823    | 0.6497    | 
261     | 0.0            | 0.6823    | 0.6497    | 
262     | 0.0            | 0.6823    | 0.6497    | 
263     | 0.0            | 0.6823    | 0.6497    | 
264     | 0.0            | 0.6823    | 0.6496    | 
265     | 0.0            | 0.6823    | 0.6496    | 
266     | 0.0            | 0.6823    | 0.6478    | 
267     | 0.0            | 0.6824    | 0.6478    | 
268     | 0.0            | 0.6825    | 0.6478    | 
269     | 0.0            | 0.6825    | 0.6478    | 
270     | 0.0            | 0.6826    | 0.6478    | 
271     | 0.0            | 0.6826    | 0.6476    | 
272     | 0.0            | 0.6825    | 0.6476    | 
273     | 0.0            | 0.6825    | 0.6476    | 
274     | 0.0            | 0.6825    | 0.6476    | 
275     | 0.0            | 0.6819    | 0.6476    | 
276     | 0.0            | 0.6819    | 0.6479    | 
277     | 0.0            | 0.6819    | 0.6479    | 
278     | 0.0            | 0.6819    | 0.6478    | 
279     | 0.0            | 0.6819    | 0.6478    | 
280     | 0.0            | 0.6819    | 0.6474    | 
281     | 0.0            | 0.6819    | 0.6478    | 
282     | 0.0            | 0.6819    | 0.6478    | 
283     | 0.0            | 0.6823    | 0.6478    | 
284     | 0.0            | 0.6824    | 0.6478    | 
285     | 0.0            | 0.6824    | 0.6478    | 
286     | 0.0            | 0.6825    | 0.6478    | 
287     | 0.0            | 0.6825    | 0.6486    | 
288     | 0.0            | 0.6825    | 0.6486    | 
289     | 0.0            | 0.6823    | 0.6486    | 
290     | 0.0            | 0.6823    | 0.6485    | 
291     | 0.0            | 0.6835    | 0.6485    | 
292     | 0.0            | 0.6821    | 0.6485    | 
293     | 0.0            | 0.6821    | 0.6485    | 
294     | 0.0            | 0.6824    | 0.6461    | 
295     | 0.0            | 0.6824    | 0.6461    | 
296     | 0.0            | 0.6809    | 0.6461    | 
297     | 0.0            | 0.6809    | 0.6461    | 
298     | 0.0            | 0.6825    | 0.6461    | 
299     | 0.0            | 0.6825    | 0.6461    | 
300     | 0.0            | 0.6825    | 0.6461    | 
301     | 0.0            | 0.6825    | 0.6461    | 
302     | 0.0            | 0.6828    | 0.6461    | 
303     | 0.0            | 0.6828    | 0.6461    | 
304     | 0.0            | 0.6828    | 0.6461    | 
305     | 0.0            | 0.6813    | 0.6461    | 
306     | 0.0            | 0.6815    | 0.6464    | 
307     | 0.0            | 0.683     | 0.6464    | 
308     | 0.0            | 0.683     | 0.6464    | 
309     | 0.0            | 0.6828    | 0.6464    | 
310     | 0.0            | 0.6828    | 0.6464    | 
311     | 0.0            | 0.6828    | 0.6464    | 
312     | 0.0            | 0.6828    | 0.6464    | 
313     | 0.0            | 0.6828    | 0.6464    | 
314     | 0.0            | 0.6828    | 0.6464    | 
315     | 0.0            | 0.6828    | 0.6464    | 
316     | 0.0            | 0.6828    | 0.6464    | 
317     | 0.0            | 0.6828    | 0.6464    | 
318     | 0.0            | 0.6828    | 0.6464    | 
319     | 0.0            | 0.6828    | 0.6464    | 
320     | 0.0            | 0.6828    | 0.6464    | 
321     | 0.0            | 0.6828    | 0.6464    | 
322     | 0.0            | 0.6828    | 0.6464    | 
323     | 0.0            | 0.6829    | 0.6467    | 
324     | 0.0            | 0.6829    | 0.6467    | 
325     | 0.0            | 0.6828    | 0.6467    | 
326     | 0.0            | 0.6828    | 0.6467    | 
327     | 0.0            | 0.6828    | 0.6467    | 
328     | 0.0            | 0.6828    | 0.6467    | 
329     | 0.0            | 0.6828    | 0.6467    | 
330     | 0.0            | 0.6829    | 0.6467    | 
331     | 0.0            | 0.6829    | 0.6467    | 
332     | 0.0            | 0.6829    | 0.6467    | 
333     | 0.0            | 0.6829    | 0.6467    | 
334     | 0.0            | 0.6829    | 0.6467    | 
335     | 0.0            | 0.6829    | 0.6467    | 
336     | 0.0            | 0.6828    | 0.6467    | 
337     | 0.0            | 0.6829    | 0.6467    | 
338     | 0.0            | 0.6829    | 0.6467    | 
339     | 0.0            | 0.6828    | 0.6467    | 
340     | 0.0            | 0.6828    | 0.6467    | 
341     | 0.0            | 0.6828    | 0.6467    | 
342     | 0.0            | 0.6828    | 0.6466    | 
343     | 0.0            | 0.6826    | 0.6467    | 
344     | 0.0            | 0.6826    | 0.6464    | 
345     | 0.0            | 0.6828    | 0.6464    | 
346     | 0.0            | 0.6828    | 0.6464    | 
347     | 0.0            | 0.6828    | 0.6464    | 
348     | 0.0            | 0.683     | 0.6457    | 
349     | 0.0            | 0.6828    | 0.6457    | 
350     | 0.0            | 0.683     | 0.6457    | 
351     | 0.0            | 0.683     | 0.6457    | 
352     | 0.0            | 0.6829    | 0.6457    | 
353     | 0.0            | 0.6822    | 0.6457    | 
354     | 0.0            | 0.6822    | 0.6457    | 
355     | 0.0            | 0.6821    | 0.6457    | 
356     | 0.0            | 0.6821    | 0.6458    | 
357     | 0.0            | 0.6821    | 0.6458    | 
358     | 0.0            | 0.6822    | 0.6458    | 
359     | 0.0            | 0.6822    | 0.6457    | 
360     | 0.0            | 0.6821    | 0.6457    | 
361     | 0.0            | 0.6822    | 0.6457    | 
362     | 0.0            | 0.6821    | 0.6457    | 
363     | 0.0            | 0.6821    | 0.6457    | 
364     | 0.0            | 0.6821    | 0.6457    | 
365     | 0.0            | 0.682     | 0.6457    | 
366     | 0.0            | 0.682     | 0.6457    | 
367     | 0.0            | 0.682     | 0.6457    | 
368     | 0.0            | 0.682     | 0.6457    | 
369     | 0.0            | 0.6821    | 0.6456    | 
370     | 0.0            | 0.6821    | 0.6456    | 
371     | 0.0            | 0.6818    | 0.6456    | 
372     | 0.0            | 0.682     | 0.6456    | 
373     | 0.0            | 0.682     | 0.6456    | 
374     | 0.0            | 0.682     | 0.6457    | 
375     | 0.0            | 0.682     | 0.6457    | 
376     | 0.0            | 0.682     | 0.6457    | 
377     | 0.0            | 0.682     | 0.6457    | 
378     | 0.0            | 0.6825    | 0.6457    | 
379     | 0.0            | 0.6825    | 0.6458    | 
380     | 0.0            | 0.6823    | 0.6458    | 
381     | 0.0            | 0.6823    | 0.6458    | 
382     | 0.0            | 0.6823    | 0.6458    | 
383     | 0.0            | 0.6823    | 0.6458    | 
384     | 0.0            | 0.6823    | 0.6458    | 
385     | 0.0            | 0.6824    | 0.6458    | 
386     | 0.0            | 0.6824    | 0.6458    | 
387     | 0.0            | 0.682     | 0.645     | 
388     | 0.0            | 0.6832    | 0.645     | 
389     | 0.0            | 0.6832    | 0.6444    | 
390     | 0.0            | 0.6833    | 0.645     | 
391     | 0.0            | 0.6831    | 0.645     | 
392     | 0.0            | 0.6831    | 0.645     | 
393     | 0.0            | 0.6831    | 0.6471    | 
394     | 0.0            | 0.6832    | 0.6464    | 
395     | 0.0            | 0.6831    | 0.6464    | 
396     | 0.0            | 0.683     | 0.6464    | 
397     | 0.0            | 0.683     | 0.6464    | 
398     | 0.0            | 0.6831    | 0.6464    | 
399     | 0.0            | 0.6831    | 0.6464    | 
400     | 0.0            | 0.6832    | 0.6472    | 
401     | 0.0            | 0.6832    | 0.6472    | 
402     | 0.0            | 0.6832    | 0.6489    | 
403     | 0.0            | 0.6832    | 0.6492    | 
404     | 0.0            | 0.6835    | 0.6492    | 
405     | 0.0            | 0.6835    | 0.6492    | 
406     | 0.0            | 0.6832    | 0.6477    | 
407     | 0.0            | 0.6832    | 0.6477    | 
408     | 0.0            | 0.6832    | 0.6477    | 
409     | 0.0            | 0.6831    | 0.6478    | 
410     | 0.0            | 0.6829    | 0.6478    | 
411     | 0.0            | 0.6829    | 0.6478    | 
412     | 0.0            | 0.6831    | 0.6478    | 
413     | 0.0            | 0.6831    | 0.6477    | 
414     | 0.0            | 0.6828    | 0.6477    | 
415     | 0.0            | 0.6828    | 0.6477    | 
416     | 0.0            | 0.6828    | 0.6477    | 
417     | 0.0            | 0.6828    | 0.6477    | 
418     | 0.0            | 0.6828    | 0.6477    | 
419     | 0.0            | 0.6828    | 0.6447    | 
420     | 0.0            | 0.6828    | 0.6447    | 
421     | 0.0            | 0.6828    | 0.6445    | 
422     | 0.0            | 0.6828    | 0.6445    | 
423     | 0.0            | 0.6828    | 0.6445    | 
424     | 0.0            | 0.6828    | 0.6445    | 
425     | 0.0            | 0.6828    | 0.6445    | 
426     | 0.0            | 0.6837    | 0.6445    | 
427     | 0.0            | 0.6837    | 0.6449    | 
428     | 0.0            | 0.6848    | 0.6458    | 
429     | 0.0            | 0.6848    | 0.6458    | 
430     | 0.0            | 0.6845    | 0.6458    | 
431     | 0.0            | 0.6845    | 0.6467    | 
432     | 0.0            | 0.685     | 0.6467    | 
433     | 0.0            | 0.6858    | 0.6467    | 
434     | 0.0            | 0.6858    | 0.6463    | 
435     | 0.0            | 0.6854    | 0.6459    | 
436     | 0.0            | 0.6854    | 0.6447    | 
437     | 0.0            | 0.6858    | 0.6447    | 
438     | 0.0            | 0.6859    | 0.6447    | 
439     | 0.0            | 0.686     | 0.6447    | 
440     | 0.0            | 0.686     | 0.6451    | 
441     | 0.0            | 0.6859    | 0.6451    | 
442     | 0.0            | 0.6858    | 0.6451    | 
443     | 0.0            | 0.6854    | 0.6451    | 
444     | 0.0            | 0.6859    | 0.6434    | 
445     | 0.0            | 0.6865    | 0.6434    | 
446     | 0.0            | 0.6864    | 0.6434    | 
447     | 0.0            | 0.6865    | 0.6445    | 
448     | 0.0            | 0.6862    | 0.6445    | 
449     | 0.0            | 0.6862    | 0.6445    | 
450     | 0.0            | 0.6861    | 0.6445    | 
451     | 0.0            | 0.6862    | 0.6445    | 
452     | 0.0            | 0.6862    | 0.6445    | 
453     | 0.0            | 0.6863    | 0.6446    | 
454     | 0.0            | 0.6864    | 0.6446    | 
455     | 0.0            | 0.6864    | 0.6446    | 
456     | 0.0            | 0.6869    | 0.6446    | 
457     | 0.0            | 0.6867    | 0.6445    | 
458     | 0.0            | 0.6864    | 0.6445    | 
459     | 0.0            | 0.6866    | 0.6446    | 
460     | 0.0            | 0.6862    | 0.6446    | 
461     | 0.0            | 0.6863    | 0.6446    | 
462     | 0.0            | 0.6864    | 0.6446    | 
