java -jar RankLib-2.14.jar -train ../data/experiment/pos_train.txt -test ../data/experiment/pos_test.txt -validate ../data/experiment/pos_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_pos.txt

Discard orig. features
Training data:	../data/experiment/pos_train.txt
Test data:	../data/experiment/pos_test.txt
Validation data:	../data/experiment/pos_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_pos.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/pos_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/pos_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/pos_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
140     | 0.6578    | 0.5963    | 
141     | 0.6592    | 0.5955    | 
142     | 0.6588    | 0.5982    | 
143     | 0.6595    | 0.5972    | 
144     | 0.6621    | 0.5976    | 
145     | 0.6647    | 0.5981    | 
146     | 0.6652    | 0.5995    | 
147     | 0.6654    | 0.5982    | 
148     | 0.667     | 0.5982    | 
149     | 0.6681    | 0.6026    | 
150     | 0.6684    | 0.6009    | 
151     | 0.6695    | 0.6013    | 
152     | 0.6701    | 0.6014    | 
153     | 0.6724    | 0.6027    | 
154     | 0.6734    | 0.6016    | 
155     | 0.6737    | 0.6034    | 
156     | 0.6733    | 0.6043    | 
157     | 0.6732    | 0.6044    | 
158     | 0.6728    | 0.6045    | 
159     | 0.6738    | 0.6057    | 
160     | 0.6743    | 0.6053    | 
161     | 0.6736    | 0.6039    | 
162     | 0.6743    | 0.6051    | 
163     | 0.6752    | 0.6032    | 
164     | 0.6752    | 0.6016    | 
165     | 0.675     | 0.6041    | 
166     | 0.677     | 0.6035    | 
167     | 0.6777    | 0.6058    | 
168     | 0.6778    | 0.6064    | 
169     | 0.6776    | 0.6068    | 
170     | 0.6773    | 0.6069    | 
171     | 0.6772    | 0.606     | 
172     | 0.6777    | 0.6074    | 
173     | 0.6782    | 0.6073    | 
174     | 0.6801    | 0.6075    | 
175     | 0.6807    | 0.6084    | 
176     | 0.6807    | 0.6086    | 
177     | 0.6801    | 0.6066    | 
178     | 0.6805    | 0.612     | 
179     | 0.681     | 0.6107    | 
180     | 0.682     | 0.6115    | 
181     | 0.6822    | 0.6117    | 
182     | 0.6811    | 0.6121    | 
183     | 0.6811    | 0.6111    | 
184     | 0.6809    | 0.6109    | 
185     | 0.6812    | 0.608     | 
186     | 0.6818    | 0.6085    | 
187     | 0.6819    | 0.6078    | 
188     | 0.6825    | 0.61      | 
189     | 0.6835    | 0.6118    | 
190     | 0.6837    | 0.6098    | 
191     | 0.6841    | 0.6096    | 
192     | 0.6843    | 0.6099    | 
193     | 0.6848    | 0.6103    | 
194     | 0.6851    | 0.6112    | 
195     | 0.6849    | 0.612     | 
196     | 0.6848    | 0.6117    | 
197     | 0.686     | 0.6129    | 
198     | 0.6855    | 0.6144    | 
199     | 0.6858    | 0.6158    | 
200     | 0.6858    | 0.6165    | 
201     | 0.6862    | 0.6179    | 
202     | 0.6861    | 0.6175    | 
203     | 0.6862    | 0.6164    | 
204     | 0.6867    | 0.6167    | 
205     | 0.6865    | 0.6166    | 
206     | 0.6851    | 0.6164    | 
