java -jar RankLib-2.14.jar -train ../data/experiment/parsetree_train.txt -test ../data/experiment/parsetree_test.txt -validate ../data/experiment/parsetree_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_parsetree.txt

Discard orig. features
Training data:	../data/experiment/parsetree_train.txt
Test data:	../data/experiment/parsetree_test.txt
Validation data:	../data/experiment/parsetree_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_parsetree.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/parsetree_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/parsetree_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/parsetree_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
138     | 0.6616    | 0.576     | 
139     | 0.6605    | 0.5763    | 
140     | 0.6605    | 0.5759    | 
141     | 0.6631    | 0.5758    | 
142     | 0.6644    | 0.5755    | 
143     | 0.6636    | 0.5751    | 
144     | 0.6674    | 0.5759    | 
145     | 0.6678    | 0.5751    | 
146     | 0.6677    | 0.573     | 
147     | 0.668     | 0.5755    | 
148     | 0.6674    | 0.5739    | 
149     | 0.6668    | 0.575     | 
150     | 0.6677    | 0.5749    | 
151     | 0.6674    | 0.5749    | 
152     | 0.6678    | 0.5752    | 
153     | 0.6674    | 0.5731    | 
154     | 0.6686    | 0.5739    | 
155     | 0.6691    | 0.5746    | 
156     | 0.6685    | 0.5744    | 
157     | 0.6692    | 0.5753    | 
158     | 0.6698    | 0.5781    | 
159     | 0.6703    | 0.5752    | 
160     | 0.6697    | 0.5753    | 
161     | 0.6709    | 0.5734    | 
162     | 0.6732    | 0.5745    | 
163     | 0.674     | 0.5743    | 
164     | 0.6731    | 0.5739    | 
165     | 0.6726    | 0.5749    | 
166     | 0.6726    | 0.5747    | 
167     | 0.6725    | 0.5744    | 
168     | 0.6735    | 0.5748    | 
169     | 0.674     | 0.5723    | 
170     | 0.6738    | 0.5727    | 
171     | 0.6741    | 0.5737    | 
172     | 0.6742    | 0.5771    | 
173     | 0.6737    | 0.5756    | 
174     | 0.6738    | 0.5744    | 
175     | 0.674     | 0.5748    | 
176     | 0.6739    | 0.5744    | 
177     | 0.6751    | 0.5737    | 
178     | 0.6751    | 0.5746    | 
179     | 0.6743    | 0.575     | 
180     | 0.6744    | 0.5756    | 
181     | 0.6748    | 0.5763    | 
182     | 0.6754    | 0.5762    | 
183     | 0.6759    | 0.5769    | 
184     | 0.676     | 0.5731    | 
