java -jar RankLib-2.14.jar -train ../data/experiment/unigram_pos_train.txt -test ../data/experiment/unigram_pos_test.txt -validate ../data/experiment/unigram_pos_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_unigram_pos.txt

Discard orig. features
Training data:	../data/experiment/unigram_pos_train.txt
Test data:	../data/experiment/unigram_pos_test.txt
Validation data:	../data/experiment/unigram_pos_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_unigram_pos.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/unigram_pos_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/unigram_pos_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/unigram_pos_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
137     | 0.614     | 0.5661    | 
138     | 0.6132    | 0.5665    | 
139     | 0.6134    | 0.5675    | 
140     | 0.6134    | 0.5675    | 
141     | 0.6143    | 0.5669    | 
142     | 0.6138    | 0.5682    | 
143     | 0.6141    | 0.5673    | 
144     | 0.6145    | 0.5674    | 
145     | 0.6151    | 0.5682    | 
146     | 0.6159    | 0.5688    | 
147     | 0.6158    | 0.5683    | 
148     | 0.6155    | 0.5683    | 
149     | 0.6159    | 0.5693    | 
150     | 0.6157    | 0.5693    | 
151     | 0.616     | 0.5695    | 
152     | 0.6176    | 0.5701    | 
153     | 0.618     | 0.5716    | 
154     | 0.6176    | 0.5706    | 
155     | 0.6183    | 0.5696    | 
156     | 0.6186    | 0.5691    | 
157     | 0.6203    | 0.5688    | 
158     | 0.6203    | 0.5701    | 
159     | 0.6215    | 0.5727    | 
160     | 0.6217    | 0.5759    | 
161     | 0.6215    | 0.576     | 
162     | 0.622     | 0.5715    | 
163     | 0.6266    | 0.5755    | 
164     | 0.6274    | 0.5748    | 
165     | 0.6271    | 0.5749    | 
166     | 0.6282    | 0.577     | 
167     | 0.6292    | 0.5783    | 
168     | 0.6301    | 0.5773    | 
169     | 0.6303    | 0.5759    | 
170     | 0.6303    | 0.5757    | 
171     | 0.6294    | 0.5747    | 
172     | 0.6296    | 0.5756    | 
173     | 0.6296    | 0.5772    | 
174     | 0.6302    | 0.5778    | 
175     | 0.6296    | 0.5782    | 
176     | 0.6303    | 0.5788    | 
177     | 0.6313    | 0.5795    | 
178     | 0.6315    | 0.579     | 
179     | 0.6329    | 0.5789    | 
180     | 0.6331    | 0.5807    | 
181     | 0.6333    | 0.5801    | 
182     | 0.6334    | 0.5791    | 
183     | 0.6333    | 0.5788    | 
184     | 0.6335    | 0.5793    | 
185     | 0.635     | 0.5792    | 
186     | 0.6355    | 0.5796    | 
187     | 0.636     | 0.5799    | 
188     | 0.6357    | 0.5795    | 
189     | 0.6348    | 0.5796    | 
190     | 0.6358    | 0.581     | 
191     | 0.6364    | 0.5826    | 
192     | 0.6363    | 0.5827    | 
193     | 0.6362    | 0.5821    | 
194     | 0.6361    | 0.5801    | 
195     | 0.6368    | 0.5809    | 
196     | 0.6365    | 0.5814    | 
197     | 0.6373    | 0.5806    | 
198     | 0.638     | 0.5814    | 
199     | 0.6388    | 0.5805    | 
200     | 0.6394    | 0.58      | 
201     | 0.6398    | 0.5795    | 
202     | 0.6386    | 0.5795    | 
203     | 0.6409    | 0.5794    | 
204     | 0.6413    | 0.5796    | 
205     | 0.6424    | 0.5819    | 
206     | 0.6431    | 0.5827    | 
207     | 0.6436    | 0.5819    | 
208     | 0.6437    | 0.5824    | 
209     | 0.6433    | 0.5826    | 
210     | 0.6426    | 0.5807    | 
211     | 0.6436    | 0.5823    | 
212     | 0.6429    | 0.5818    | 
213     | 0.6439    | 0.5814    | 
214     | 0.6446    | 0.5814    | 
215     | 0.6454    | 0.5816    | 
216     | 0.645     | 0.5823    | 
217     | 0.6451    | 0.582     | 
218     | 0.6453    | 0.582     | 
219     | 0.6467    | 0.5821    | 
220     | 0.6468    | 0.583     | 
221     | 0.6466    | 0.583     | 
222     | 0.6479    | 0.5845    | 
223     | 0.6478    | 0.5824    | 
224     | 0.6473    | 0.5846    | 
225     | 0.6485    | 0.5844    | 
226     | 0.6493    | 0.5873    | 
227     | 0.6501    | 0.5852    | 
228     | 0.65      | 0.5885    | 
229     | 0.6502    | 0.588     | 
230     | 0.6507    | 0.5908    | 
231     | 0.6506    | 0.5907    | 
232     | 0.6512    | 0.5902    | 
233     | 0.6513    | 0.5904    | 
234     | 0.6514    | 0.5885    | 
235     | 0.6523    | 0.588     | 
236     | 0.6519    | 0.5897    | 
237     | 0.6527    | 0.5887    | 
238     | 0.6529    | 0.5891    | 
239     | 0.6534    | 0.5887    | 
240     | 0.6528    | 0.589     | 
241     | 0.653     | 0.5883    | 
242     | 0.6531    | 0.5894    | 
243     | 0.6537    | 0.5895    | 
244     | 0.654     | 0.5896    | 
245     | 0.6534    | 0.5892    | 
246     | 0.6543    | 0.5884    | 
247     | 0.6549    | 0.5886    | 
248     | 0.6558    | 0.5884    | 
249     | 0.6561    | 0.5883    | 
250     | 0.6564    | 0.5894    | 
251     | 0.6568    | 0.589     | 
252     | 0.6574    | 0.5892    | 
253     | 0.6573    | 0.5893    | 
254     | 0.6577    | 0.5899    | 
255     | 0.6557    | 0.5902    | 
256     | 0.6558    | 0.5897    | 
