java -jar RankLib-2.14.jar -train ../data/experiment/ss_before_after_train.txt -test ../data/experiment/ss_before_after_test.txt -validate ../data/experiment/ss_before_after_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_ss_before_after.txt


Discard orig. features
Training data:	../data/experiment/ss_before_after_train.txt
Test data:	../data/experiment/ss_before_after_test.txt
Validation data:	../data/experiment/ss_before_after_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_ss_before_after.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/ss_before_after_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/ss_before_after_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/ss_before_after_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
137     | 0.7407    | 0.6749    | 
138     | 0.7407    | 0.6747    | 
139     | 0.7418    | 0.6748    | 
140     | 0.7419    | 0.675     | 
141     | 0.7426    | 0.6761    | 
142     | 0.7441    | 0.6749    | 
143     | 0.7443    | 0.6743    | 
144     | 0.7453    | 0.6743    | 
145     | 0.7455    | 0.6746    | 
146     | 0.7461    | 0.6769    | 
147     | 0.7452    | 0.6779    | 
148     | 0.7452    | 0.6784    | 
149     | 0.746     | 0.6782    | 
150     | 0.7483    | 0.6777    | 
151     | 0.7482    | 0.6767    | 
152     | 0.7498    | 0.6773    | 
153     | 0.7492    | 0.68      | 
154     | 0.7497    | 0.6802    | 
155     | 0.7508    | 0.6788    | 
156     | 0.751     | 0.6792    | 
157     | 0.7515    | 0.6784    | 
158     | 0.7529    | 0.6809    | 
159     | 0.7534    | 0.6797    | 
160     | 0.7543    | 0.6805    | 
161     | 0.754     | 0.6819    | 
162     | 0.754     | 0.6804    | 
163     | 0.7547    | 0.68      | 
164     | 0.7545    | 0.68      | 
165     | 0.756     | 0.6834    | 
166     | 0.7575    | 0.6824    | 
167     | 0.7577    | 0.6824    | 
168     | 0.7585    | 0.6835    | 
169     | 0.7593    | 0.6841    | 
170     | 0.7611    | 0.6855    | 
171     | 0.7638    | 0.6837    | 
172     | 0.7636    | 0.6854    | 
173     | 0.7645    | 0.6856    | 
174     | 0.7643    | 0.6874    | 
175     | 0.7644    | 0.6844    | 
176     | 0.7653    | 0.6828    | 
177     | 0.765     | 0.6832    | 
178     | 0.7649    | 0.6815    | 
179     | 0.7647    | 0.6817    | 
180     | 0.7663    | 0.6813    | 
181     | 0.7671    | 0.6809    | 
182     | 0.7688    | 0.6822    | 
183     | 0.7693    | 0.6806    | 
184     | 0.7694    | 0.6812    | 
185     | 0.7703    | 0.6834    | 
186     | 0.7709    | 0.6814    | 
187     | 0.7712    | 0.6813    | 
188     | 0.7713    | 0.6824    | 
189     | 0.7713    | 0.6833    | 
190     | 0.7722    | 0.682     | 
191     | 0.7717    | 0.6845    | 
192     | 0.7731    | 0.6859    | 
193     | 0.7731    | 0.687     | 
194     | 0.774     | 0.6876    | 
195     | 0.774     | 0.6859    | 
196     | 0.7751    | 0.6873    | 
197     | 0.7745    | 0.687     | 
198     | 0.7751    | 0.6888    | 
199     | 0.7754    | 0.6893    | 
200     | 0.7758    | 0.6873    | 
201     | 0.7762    | 0.6851    | 
202     | 0.7771    | 0.6866    | 
203     | 0.7767    | 0.6867    | 
204     | 0.777     | 0.6861    | 
205     | 0.7782    | 0.6868    | 
206     | 0.7791    | 0.6863    | 
207     | 0.779     | 0.6863    | 
208     | 0.7797    | 0.6861    | 
209     | 0.7799    | 0.6875    | 
210     | 0.7793    | 0.6876    | 
211     | 0.7799    | 0.6862    | 
212     | 0.7805    | 0.6896    | 
213     | 0.7801    | 0.6889    | 
214     | 0.78      | 0.6882    | 
215     | 0.7805    | 0.6906    | 
216     | 0.7806    | 0.6897    | 
217     | 0.7811    | 0.6896    | 
218     | 0.7813    | 0.6892    | 
219     | 0.7813    | 0.6892    | 
220     | 0.7824    | 0.6912    | 
221     | 0.7809    | 0.6913    | 
222     | 0.7801    | 0.6955    | 
223     | 0.781     | 0.6942    | 
224     | 0.7812    | 0.6936    | 
225     | 0.7838    | 0.6945    | 
226     | 0.7842    | 0.6944    | 
227     | 0.7833    | 0.6939    | 
228     | 0.7832    | 0.6941    | 
229     | 0.7839    | 0.698     | 
230     | 0.7838    | 0.6978    | 
231     | 0.7842    | 0.6981    | 
232     | 0.7841    | 0.6972    | 
233     | 0.7856    | 0.6991    | 
234     | 0.7852    | 0.6999    | 
235     | 0.7848    | 0.697     | 
236     | 0.7846    | 0.6999    | 
237     | 0.7839    | 0.6988    | 
238     | 0.7846    | 0.7025    | 
239     | 0.7853    | 0.7028    | 
240     | 0.7854    | 0.6989    | 
241     | 0.7867    | 0.6987    | 
242     | 0.7867    | 0.6987    | 
243     | 0.7873    | 0.697     | 
244     | 0.7872    | 0.6968    | 
245     | 0.7878    | 0.6982    | 
246     | 0.7883    | 0.7019    | 
247     | 0.7893    | 0.702     | 
248     | 0.79      | 0.7024    | 
249     | 0.7894    | 0.702     | 
250     | 0.7919    | 0.7024    | 
251     | 0.7925    | 0.703     | 
252     | 0.7932    | 0.7011    | 
253     | 0.7934    | 0.7018    | 
254     | 0.7931    | 0.7008    | 
255     | 0.7933    | 0.7004    | 
256     | 0.7937    | 0.7006    | 
257     | 0.7941    | 0.7015    | 
258     | 0.7937    | 0.7006    | 
259     | 0.795     | 0.7034    | 
260     | 0.7954    | 0.7043    | 
261     | 0.7954    | 0.7042    | 
262     | 0.7953    | 0.7059    | 
263     | 0.7958    | 0.7037    | 
264     | 0.7963    | 0.7044    | 
265     | 0.797     | 0.7046    | 
266     | 0.7971    | 0.7057    | 
267     | 0.7974    | 0.7052    | 
268     | 0.7974    | 0.7049    | 
269     | 0.7979    | 0.7043    | 
270     | 0.7975    | 0.7047    | 
271     | 0.7973    | 0.7038    | 
272     | 0.7969    | 0.7044    | 
273     | 0.7972    | 0.7046    | 
274     | 0.7979    | 0.7033    | 
275     | 0.797     | 0.705     | 
276     | 0.7969    | 0.7051    | 
277     | 0.7969    | 0.7059    | 
278     | 0.7973    | 0.7069    | 
279     | 0.7983    | 0.7095    | 
280     | 0.7985    | 0.7086    | 
281     | 0.7982    | 0.7088    | 
282     | 0.7984    | 0.7069    | 
283     | 0.7984    | 0.7078    | 
284     | 0.7989    | 0.7079    | 
285     | 0.7991    | 0.7092    | 
286     | 0.7994    | 0.7092    | 
287     | 0.7994    | 0.7065    | 
288     | 0.7994    | 0.7069    | 
289     | 0.8001    | 0.7111    | 
290     | 0.8       | 0.711     | 
291     | 0.8002    | 0.711     | 
292     | 0.8005    | 0.7113    | 
293     | 0.8005    | 0.7111    | 
294     | 0.802     | 0.7111    | 
295     | 0.8007    | 0.711     | 
296     | 0.801     | 0.7108    | 
297     | 0.8006    | 0.7127    | 
298     | 0.8004    | 0.7139    | 
299     | 0.8004    | 0.715     | 
300     | 0.8005    | 0.7137    | 
301     | 0.8008    | 0.712     | 
302     | 0.8009    | 0.7114    | 
303     | 0.8007    | 0.7114    | 
304     | 0.8011    | 0.7134    | 
