java -jar RankLib-2.14.jar -train ../data/experiment/ss_ans_train.txt -test ../data/experiment/ss_ans_test.txt -validate ../data/experiment/ss_ans_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_ss_ans.txt

Discard orig. features
Training data:	../data/experiment/ss_ans_train.txt
Test data:	../data/experiment/ss_ans_test.txt
Validation data:	../data/experiment/ss_ans_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_ss_ans.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/ss_ans_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/ss_ans_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/ss_ans_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
138     | 0.9499    | 0.9206    | 
139     | 0.9499    | 0.9206    | 
140     | 0.9499    | 0.9206    | 
141     | 0.9499    | 0.9206    | 
142     | 0.9497    | 0.9206    | 
143     | 0.95      | 0.9202    | 
144     | 0.9502    | 0.9207    | 
145     | 0.9496    | 0.9207    | 
146     | 0.9503    | 0.9207    | 
147     | 0.9505    | 0.9208    | 
148     | 0.9503    | 0.9208    | 
149     | 0.9503    | 0.9208    | 
150     | 0.9503    | 0.9208    | 
151     | 0.9503    | 0.9208    | 
152     | 0.9508    | 0.9208    | 
153     | 0.9508    | 0.9208    | 
154     | 0.9508    | 0.9208    | 
155     | 0.9513    | 0.9208    | 
156     | 0.9513    | 0.9208    | 
157     | 0.9513    | 0.9208    | 
158     | 0.951     | 0.9208    | 
159     | 0.9509    | 0.9209    | 
160     | 0.9513    | 0.9209    | 
161     | 0.9513    | 0.9208    | 
162     | 0.9514    | 0.9209    | 
163     | 0.9513    | 0.9213    | 
164     | 0.9513    | 0.9209    | 
165     | 0.9514    | 0.9208    | 
166     | 0.9511    | 0.9208    | 
167     | 0.9514    | 0.9208    | 
168     | 0.9514    | 0.9208    | 
169     | 0.9514    | 0.9208    | 
170     | 0.9514    | 0.9209    | 
171     | 0.9514    | 0.9208    | 
172     | 0.9516    | 0.9208    | 
173     | 0.9509    | 0.9208    | 
174     | 0.9509    | 0.9208    | 
175     | 0.9514    | 0.9207    | 
176     | 0.9505    | 0.9207    | 
177     | 0.9509    | 0.9207    | 
178     | 0.9514    | 0.9207    | 
179     | 0.9514    | 0.9207    | 
180     | 0.9514    | 0.9212    | 
181     | 0.9514    | 0.9207    | 
182     | 0.9511    | 0.9212    | 
183     | 0.9514    | 0.9212    | 
184     | 0.951     | 0.9212    | 
185     | 0.9514    | 0.9212    | 
186     | 0.9514    | 0.9212    | 
187     | 0.9508    | 0.9212    | 
188     | 0.9512    | 0.9212    | 
189     | 0.9508    | 0.9212    | 
190     | 0.9514    | 0.9212    | 
191     | 0.9514    | 0.9212    | 
192     | 0.9514    | 0.9212    | 
193     | 0.9517    | 0.9212    | 
194     | 0.9517    | 0.9212    | 
195     | 0.9517    | 0.9212    | 
196     | 0.9517    | 0.9212    | 
197     | 0.9517    | 0.9212    | 
198     | 0.9517    | 0.9212    | 
199     | 0.9517    | 0.9212    | 
200     | 0.9519    | 0.9212    | 
201     | 0.9523    | 0.9212    | 
202     | 0.9523    | 0.9212    | 
203     | 0.9521    | 0.9212    | 
204     | 0.9523    | 0.9212    | 
205     | 0.9523    | 0.9217    | 
206     | 0.9523    | 0.9217    | 
207     | 0.9523    | 0.9217    | 
208     | 0.9523    | 0.9217    | 
209     | 0.9523    | 0.9217    | 
210     | 0.9526    | 0.9221    | 
211     | 0.9528    | 0.9222    | 
212     | 0.9528    | 0.9222    | 
213     | 0.9528    | 0.9227    | 
214     | 0.9528    | 0.9227    | 
215     | 0.9528    | 0.9227    | 
216     | 0.953     | 0.9227    | 
217     | 0.9528    | 0.9227    | 
218     | 0.9528    | 0.9227    | 
219     | 0.9528    | 0.9227    | 
220     | 0.9528    | 0.9227    | 
221     | 0.9528    | 0.9227    | 
222     | 0.9528    | 0.9227    | 
223     | 0.9528    | 0.9227    | 
224     | 0.9528    | 0.9227    | 
225     | 0.9529    | 0.9227    | 
226     | 0.9529    | 0.9227    | 
227     | 0.953     | 0.9227    | 
228     | 0.9531    | 0.9227    | 
229     | 0.953     | 0.9227    | 
230     | 0.9528    | 0.9222    | 
231     | 0.9528    | 0.9222    | 
232     | 0.9528    | 0.9222    | 
233     | 0.9529    | 0.9222    | 
234     | 0.9531    | 0.9222    | 
235     | 0.9529    | 0.9222    | 
236     | 0.9531    | 0.9222    | 
237     | 0.9531    | 0.9222    | 
238     | 0.9531    | 0.9222    | 
239     | 0.9533    | 0.9222    | 
240     | 0.9531    | 0.9222    | 
241     | 0.9533    | 0.9222    | 
242     | 0.9533    | 0.9222    | 
243     | 0.9533    | 0.9222    | 
244     | 0.9533    | 0.9222    | 
245     | 0.9533    | 0.9222    | 
246     | 0.9535    | 0.9222    | 
247     | 0.9535    | 0.9222    | 
248     | 0.9535    | 0.9222    | 
249     | 0.9535    | 0.9223    | 
250     | 0.9535    | 0.9222    | 
251     | 0.9535    | 0.9222    | 
252     | 0.9535    | 0.9223    | 
253     | 0.9535    | 0.9223    | 
254     | 0.9535    | 0.9222    | 
